compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-766529,LiFeSiO4,165.635403138394,1.46134,0.80043,1.32445,0.024067041788506,2.51603223166667,0.142857142857142,0.25,0.062268416071431,0.0136075934375
mp-761579,FeCo3O8,143.123749906104,0.89408,0.30922,0.89318,0.12183815617908,3.72106449416666,0,0.142857142857142,0.082114222708334,0.039717073833198
mp-1178027,Li2CoNi3O8,137.171754049763,1.31934,0.53639,1.31934,0.008674444907749,3.16730473166667,0.142857142857142,0.25,0.033695513839282,0.009927231041666
mp-760231,LiSn2(PO4)3,98.6877713139653,1.90913,0.90444,1.76672,0.126926106132779,1.96100313166667,0.055555555555555,0.15,0.012154829999986,0.044302925083331
mp-1048396,FeP2O7,113.215721197953,1.8665,0.99989,1.85677,0.099325903956339,4.81514761166667,0,0.09090909090909,0.115656682291675,0.043609396590909
mp-774579,LiTi2(PO4)3,133.516370568036,2.57862,1.09908,2.57862,0.083217754112643,0.807346055416668,0.055555555555555,0.15,0.012224218749986,0.099469961607138
mp-849656,Li5Co4(Si3O10)2,103.114111897215,1.76616,0.53918,1.76616,0.013219549715563,3.27476559666664,0.142857142857142,0.210526315789473,0.081679587952379,0.038557482192982
mp-766459,LiCo2(PO4)2,83.3143347110418,1.5823,1.03015,1.57522,0.029409141539862,4.04019995416666,0.076923076923076,0.142857142857142,0.03664767980769,0.004493792857129
mp-758039,LiFe2(CO3)4,211.875222499093,3.09189,1.40325,3.00168,0.032447123042941,3.16305561333333,0.052631578947368,0.181818181818181,0.081138344078953,0.06641970681818
mp-757951,LiP3(WO6)2,79.5984589715738,1.64801,1.02714,1.6106,0.020270425018583,1.63560877416667,0.055555555555555,0.15,0.001162281250001,0.046232862500003
